Date,Transit Ridership - Other Transit Modes - Adjusted,Transit Ridership - Fixed Route Bus - Adjusted,Transit Ridership - Urban Rail - Adjusted
01/01/2019 12:00:00 AM,16515635.0,367851089.0,368022820.0
02/01/2019 12:00:00 AM,15136059.0,354692992.0,350068247.0
03/01/2019 12:00:00 AM,17796909.0,390228157.0,403221955.0
04/01/2019 12:00:00 AM,18746430.0,397479345.0,415533810.0
05/01/2019 12:00:00 AM,19596702.0,399640786.0,421141236.0
06/01/2019 12:00:00 AM,19006565.0,362002815.0,398791173.0
07/01/2019 12:00:00 AM,20378395.0,369257081.0,411609150.0
08/01/2019 12:00:00 AM,20593034.0,384027047.0,410170062.0
09/01/2019 12:00:00 AM,18338805.0,396062247.0,410903169.0
10/01/2019 12:00:00 AM,19083744.0,426327140.0,448819797.0
11/01/2019 12:00:00 AM,16328180.0,371791492.0,405041309.0
12/01/2019 12:00:00 AM,16239029.0,352319744.0,401888202.0
01/01/2020 12:00:00 AM,16883290.0,375738346.0,406474497.0
02/01/2020 12:00:00 AM,16123791.0,364933382.0,391646322.0
03/01/2020 12:00:00 AM,10828249.0,260816728.0,219281018.0
04/01/2020 12:00:00 AM,4303718.0,111044589.0,42951341.0
05/01/2020 12:00:00 AM,5481939.0,131468213.0,50460960.0
06/01/2020 12:00:00 AM,7149590.0,161043900.0,74684224.0
07/01/2020 12:00:00 AM,8549041.0,184922699.0,99467667.0
08/01/2020 12:00:00 AM,8835309.0,188679987.0,107360286.0
09/01/2020 12:00:00 AM,8771009.0,184078159.0,124428834.0
10/01/2020 12:00:00 AM,8920807.0,191331339.0,137294944.0
11/01/2020 12:00:00 AM,7627209.0,171690041.0,118113764.0
12/01/2020 12:00:00 AM,7482453.0,169870505.0,118476124.0
01/01/2021 12:00:00 AM,7259522.0,161820364.0,113545978.0
02/01/2021 12:00:00 AM,6911154.0,152522937.0,106145179.0
03/01/2021 12:00:00 AM,9053697.0,191455592.0,137480977.0
04/01/2021 12:00:00 AM,9537997.0,192267237.0,140260380.0
05/01/2021 12:00:00 AM,10193270.0,194820590.0,158698390.0
06/01/2021 12:00:00 AM,11334406.0,202282688.0,185874126.0
07/01/2021 12:00:00 AM,12612426.0,207221283.0,189569949.0
08/01/2021 12:00:00 AM,12384598.0,216485249.0,185794871.0
09/01/2021 12:00:00 AM,11612794.0,237534084.0,201448966.0
10/01/2021 12:00:00 AM,11503953.0,246683626.0,229123413.0
11/01/2021 12:00:00 AM,10765291.0,232336806.0,211845124.0
12/01/2021 12:00:00 AM,10428599.0,219181106.0,206761791.0
01/01/2022 12:00:00 AM,9017223.0,196102038.0,169816951.0
02/01/2022 12:00:00 AM,9674706.0,207476065.0,193200368.0
03/01/2022 12:00:00 AM,11876400.0,249130612.0,234416298.0
04/01/2022 12:00:00 AM,12341978.0,241167610.0,236466994.0
05/01/2022 12:00:00 AM,12935089.0,247228206.0,240991563.0
06/01/2022 12:00:00 AM,13653844.0,242322797.0,250659604.0
07/01/2022 12:00:00 AM,13007168.0,224963683.0,232833813.0
08/01/2022 12:00:00 AM,,,
09/01/2022 12:00:00 AM,,,
