state,value
Alabama,6
Alaska,31
Arkansas,5
Arizona,60
California,276
Colorado,38
Connecticut,4
Delaware,7
District of Columbia,7
Florida,91
Georgia,47
Hawaii,2
Iowa,8
Idaho,10
Illinois,31
Indiana,26
Kansas,17
Kentucky,24
Louisiana,43
Maine,4
Maryland,24
Massachusetts,14
Michigan,21
Minnesota,23
Missouri,29
Mississippi,19
Montana,6
North Carolina,32
North Dakota,1
Nebraska,14
New Hampshire,5
New Jersey,21
New Mexico,27
Nevada,32
New York,26
Ohio,46
Oklahoma,50
Oregon,27
Pennsylvania,29
Rhode Island,0
South Carolina,31
South Dakota,6
Tennessee,29
Texas,174
Utah,13
Virginia,35
Vermont,1
Washington,26
Wisconsin,14
West Virginia,17
Wyoming,8
